height,latitude,longitude
9.711000000000000000e+03,5.756117135065922689e+64,-1.047326443130702559e+64
9.710000000000000000e+03,5.880865804796140202e+64,-1.065779203556989818e+64
9.709000000000000000e+03,5.832363009612409083e+64,-1.051445663757502423e+64
9.708000000000000000e+03,6.143163546745358738e+64,-1.101519671859115200e+64
9.707000000000000000e+03,5.943297378087219510e+64,-1.067840401894026961e+64
9.706000000000000000e+03,5.794972233231567376e+64,-1.049707201823501342e+64
9.705000000000000000e+03,5.818826539624919472e+64,-1.047889735451248778e+64
9.704000000000000000e+03,5.822305375532125280e+64,-1.049611449487888845e+64
9.703000000000000000e+03,5.636679040448358522e+64,-1.016213329709488208e+64
9.702000000000000000e+03,5.643907403188829072e+64,-1.020292386997373540e+64
9.701000000000000000e+03,5.573825513413037695e+64,-1.003714999546607895e+64
9.700000000000000000e+03,5.489796279946750460e+64,-9.895936644924644951e+63
9.699000000000000000e+03,5.277868901187233936e+64,-9.563614426620728832e+63
9.698000000000000000e+03,5.147765747834446947e+64,-9.401838297644619702e+63
9.697000000000000000e+03,5.405336736091734104e+64,-9.772387697380164953e+63
9.696000000000000000e+03,5.263773570176181981e+64,-9.511052966995541405e+63
9.695000000000000000e+03,5.206375191065028387e+64,-9.416021962808959607e+63
9.694000000000000000e+03,4.932483918263982923e+64,-8.985861886989862047e+63
9.693000000000000000e+03,5.317566021057317627e+64,-9.594699639805706150e+63
9.692000000000000000e+03,5.162729482878988418e+64,-9.349875522050817453e+63
9.691000000000000000e+03,5.069780920974812967e+64,-9.175567416874425196e+63
9.690000000000000000e+03,5.366066745734369472e+64,-9.587232076931199878e+63
9.689000000000000000e+03,4.952051439612832088e+64,-8.947437610085782224e+63
9.688000000000000000e+03,4.958228271958379219e+64,-8.998400382096692167e+63
9.687000000000000000e+03,5.083519514255437307e+64,-9.156924836414861946e+63
9.686000000000000000e+03,4.713799086363566678e+64,-8.541147491720740116e+63
9.685000000000000000e+03,4.724234696578598853e+64,-8.575994763157720761e+63
9.684000000000000000e+03,4.715160509302308701e+64,-8.561968560963505450e+63
9.683000000000000000e+03,4.611979244668336787e+64,-8.363396073456500842e+63
9.682000000000000000e+03,4.655536777383884258e+64,-8.414687750878189122e+63
9.681000000000000000e+03,4.783478387234381172e+64,-8.668709916540422518e+63
9.680000000000000000e+03,4.853340251277526070e+64,-8.684392657466875527e+63
9.679000000000000000e+03,4.551220429527421151e+64,-8.245093783868433513e+63
9.678000000000000000e+03,4.601563937882318035e+64,-8.282391784380660913e+63
9.677000000000000000e+03,4.605891674883888523e+64,-8.292455003906238686e+63
9.676000000000000000e+03,4.443973582402330360e+64,-8.046288711244593218e+63
9.675000000000000000e+03,4.567171802641407647e+64,-8.231156905517175678e+63
9.674000000000000000e+03,4.486762209874726986e+64,-8.144670565884880687e+63
9.673000000000000000e+03,4.362631656052605139e+64,-7.864674758416071377e+63
9.672000000000000000e+03,4.537369476405841871e+64,-8.141572202198108760e+63
9.671000000000000000e+03,4.506444910759266792e+64,-8.078620178093105271e+63
9.670000000000000000e+03,4.234298370280293678e+64,-7.629460734735914521e+63
9.669000000000000000e+03,4.395728257383650853e+64,-7.874526157936588383e+63
9.668000000000000000e+03,4.215736517399544687e+64,-7.616357065264752477e+63
9.667000000000000000e+03,4.101806463700514552e+64,-7.447278903801930225e+63
9.666000000000000000e+03,4.036148696241240466e+64,-7.319552430495809318e+63
9.665000000000000000e+03,4.081310048757352217e+64,-7.415673069295451812e+63
9.664000000000000000e+03,4.042277108839962418e+64,-7.325575600136901318e+63
9.663000000000000000e+03,3.987029863891476377e+64,-7.188513612620351269e+63
9.662000000000000000e+03,4.023376400052128055e+64,-7.261938646345701468e+63
9.661000000000000000e+03,4.042478350197284868e+64,-7.310502302526015077e+63
9.660000000000000000e+03,4.198719570040729623e+64,-7.536390152519355832e+63
9.659000000000000000e+03,3.901683763793740329e+64,-7.110090506210003407e+63
9.658000000000000000e+03,3.911565546664490413e+64,-7.056732624574808944e+63
9.657000000000000000e+03,3.997008411024360395e+64,-7.171428058304797114e+63
9.656000000000000000e+03,3.586312381245739917e+64,-6.548930305560692287e+63
9.655000000000000000e+03,3.896202685825219399e+64,-6.998977064347308351e+63
9.654000000000000000e+03,3.662148140085515940e+64,-6.663798885071719206e+63
9.653000000000000000e+03,3.913119599305264851e+64,-7.017500108170792047e+63
9.652000000000000000e+03,3.716255085656191056e+64,-6.682809607358320888e+63
9.651000000000000000e+03,3.701986908060092152e+64,-6.667035161350922882e+63
9.650000000000000000e+03,3.568929366687554846e+64,-6.452989288014293218e+63
9.649000000000000000e+03,3.634562360353928863e+64,-6.559601549933114079e+63
9.648000000000000000e+03,3.621937963857417944e+64,-6.537971819341462485e+63
9.647000000000000000e+03,3.672372548339167167e+64,-6.595272720034587522e+63
9.646000000000000000e+03,3.585017186145353012e+64,-6.459419905916610372e+63
9.645000000000000000e+03,3.461395139527236154e+64,-6.301684964268371250e+63
9.644000000000000000e+03,3.304549136470024430e+64,-5.980246919246857869e+63
9.643000000000000000e+03,3.327765190464866706e+64,-6.055691214671104052e+63
9.642000000000000000e+03,3.570690181606853278e+64,-6.415622838272512319e+63
9.641000000000000000e+03,3.435761627094340470e+64,-6.160533741567572039e+63
9.640000000000000000e+03,3.248872444404786727e+64,-5.929981650473337650e+63
9.639000000000000000e+03,3.329615951840503866e+64,-5.995236502986760079e+63
9.638000000000000000e+03,3.282907627942515219e+64,-5.929691537117183992e+63
9.637000000000000000e+03,3.279754807226252348e+64,-5.912336747905322279e+63
9.636000000000000000e+03,3.282285377350263963e+64,-5.935996818533360034e+63
9.635000000000000000e+03,3.109461256999051002e+64,-5.662768795864546015e+63
9.634000000000000000e+03,3.167886502284423273e+64,-5.706056155892342365e+63
9.633000000000000000e+03,3.247737736878150708e+64,-5.832838905191981313e+63
9.632000000000000000e+03,3.300420791835354686e+64,-5.930315588944559035e+63
9.631000000000000000e+03,2.947025216638137002e+64,-5.359702652291394262e+63
9.630000000000000000e+03,3.001876358235299945e+64,-5.462092382182877391e+63
9.629000000000000000e+03,3.080783784494602323e+64,-5.579615929926599546e+63
9.628000000000000000e+03,2.941477612124118361e+64,-5.343014640873990381e+63
9.627000000000000000e+03,3.075785417154882823e+64,-5.550705253726695507e+63
9.626000000000000000e+03,2.894670340356048961e+64,-5.239261416491464400e+63
9.625000000000000000e+03,2.912683898553515178e+64,-5.261948977218032519e+63
9.624000000000000000e+03,3.045001403444600864e+64,-5.455566638350568257e+63
